"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Apr 06 18:18:04 GMT 2022","Wed Apr 06 18:18:04 GMT 2022","1","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","verifyEnteringNegativeNumber","Verify entering a negative number","Verify entering a negative number"
"passed","Wed Apr 06 18:18:09 GMT 2022","Wed Apr 06 18:18:11 GMT 2022","2162","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","verifyTermsAndConditionsLinkIsPresentANdClickable","Verify that 'Terms and conditions' link is present","Verify that 'Terms and conditions' link is present"
"failed","Wed Apr 06 18:18:00 GMT 2022","Wed Apr 06 18:18:03 GMT 2022","3297","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","verifyValidationErrorAppearsForEmptyField","Verify that validation error appears after trying sending empty input","Verify that validation error appears after trying sending empty input"
"passed","Wed Apr 06 18:18:06 GMT 2022","Wed Apr 06 18:18:09 GMT 2022","2327","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","verifyEnteringStringInsteadOfNumber","Verify entering string instead of a number","Verify entering string instead of a number"
"passed","Wed Apr 06 18:18:11 GMT 2022","Wed Apr 06 18:18:13 GMT 2022","2117","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","verifyPrivacyLinkIsPresentAndClickable","Verify that 'Privacy' link is present","Verify that 'Privacy' link is present"
"failed","Wed Apr 06 18:18:13 GMT 2022","Wed Apr 06 18:18:26 GMT 2022","12596","","qa_interview.web.TC0007_VerifyPressingEnterButton","","qa_interview.web.TC0007_VerifyPressingEnterButton","verifyPressingEnterButton","Verify pressing 'Enter' button","Verify pressing 'Enter' button"
"passed","Wed Apr 06 18:18:04 GMT 2022","Wed Apr 06 18:18:06 GMT 2022","2485","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","verifyEnteringPositiveNumber","Verify entering a positive number","Verify entering a positive number"
