"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 06 18:43:12 GMT 2022","Wed Apr 06 18:43:14 GMT 2022","2435","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","verifyPrivacyLinkIsPresentAndClickable","Verify that 'Privacy' link is present","Verify that 'Privacy' link is present"
"skipped","Wed Apr 06 18:43:04 GMT 2022","Wed Apr 06 18:43:04 GMT 2022","0","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","verifyEnteringNegativeNumber","Verify entering a negative number","Verify entering a negative number"
"failed","Wed Apr 06 18:43:14 GMT 2022","Wed Apr 06 18:43:27 GMT 2022","12855","","qa_interview.web.TC0007_VerifyPressingEnterButton","","qa_interview.web.TC0007_VerifyPressingEnterButton","verifyPressingEnterButton","Verify pressing 'Enter' button","Verify pressing 'Enter' button"
"passed","Wed Apr 06 18:43:06 GMT 2022","Wed Apr 06 18:43:09 GMT 2022","2348","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","verifyEnteringStringInsteadOfNumber","Verify entering string instead of a number","Verify entering string instead of a number"
"passed","Wed Apr 06 18:43:09 GMT 2022","Wed Apr 06 18:43:12 GMT 2022","2634","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","verifyTermsAndConditionsLinkIsPresentANdClickable","Verify that 'Terms and conditions' link is present","Verify that 'Terms and conditions' link is present"
"failed","Wed Apr 06 18:43:00 GMT 2022","Wed Apr 06 18:43:03 GMT 2022","3542","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","verifyValidationErrorAppearsForEmptyField","Verify that validation error appears after trying sending empty input","Verify that validation error appears after trying sending empty input"
"passed","Wed Apr 06 18:43:04 GMT 2022","Wed Apr 06 18:43:06 GMT 2022","2556","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","verifyEnteringPositiveNumber","Verify entering a positive number","Verify entering a positive number"
