"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 06 17:14:13 GMT 2022","Wed Apr 06 17:14:16 GMT 2022","2668","","qa_interview.web.TCs.TC0007_VerifyPressingEnterButton","","qa_interview.web.TCs.TC0007_VerifyPressingEnterButton","verifyPressingEnterButton","Verify pressing 'Enter' button","Verify pressing 'Enter' button"
"passed","Wed Apr 06 17:14:07 GMT 2022","Wed Apr 06 17:14:10 GMT 2022","2903","","qa_interview.web.TCs.TC0004_VerifyEnteringCharInsteadOfNumber","","qa_interview.web.TCs.TC0004_VerifyEnteringCharInsteadOfNumber","verifyEnteringStringInsteadOfNumber","Verify entering string instead of a number","Verify entering string instead of a number"
"passed","Wed Apr 06 17:14:04 GMT 2022","Wed Apr 06 17:14:07 GMT 2022","3137","","qa_interview.web.TCs.TC0003_VerifyEnteringPositiveNumber","","qa_interview.web.TCs.TC0003_VerifyEnteringPositiveNumber","verifyEnteringPositiveNumber","Verify entering a positive number","Verify entering a positive number"
"skipped","Wed Apr 06 17:14:04 GMT 2022","Wed Apr 06 17:14:04 GMT 2022","0","","qa_interview.web.TCs.TC0002_VerifyEnteringNegativeNumber","","qa_interview.web.TCs.TC0002_VerifyEnteringNegativeNumber","verifyEnteringNegativeNumber","Verify entering a negative number","Verify entering a negative number"
"passed","Wed Apr 06 17:14:10 GMT 2022","Wed Apr 06 17:14:13 GMT 2022","2800","","qa_interview.web.TCs.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","","qa_interview.web.TCs.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","verifyTermsAndConditionsLinkIsPresentANdClickable","Verify that 'Terms and conditions' link is present","Verify that 'Terms and conditions' link is present"
"passed","Wed Apr 06 17:13:59 GMT 2022","Wed Apr 06 17:14:03 GMT 2022","4442","","qa_interview.web.TCs.TC0001_VerifyValidationErrorAppearsForEmptyField","","qa_interview.web.TCs.TC0001_VerifyValidationErrorAppearsForEmptyField","verifyValidationErrorAppearsForEmptyField","Verify that validation error appears after trying sending empty input","Verify that validation error appears after trying sending empty input"
"skipped","Wed Apr 06 17:14:13 GMT 2022","Wed Apr 06 17:14:13 GMT 2022","0","","qa_interview.web.TCs.TC0006_VerifyPrivacyLinkIsPresentAndClickable","","qa_interview.web.TCs.TC0006_VerifyPrivacyLinkIsPresentAndClickable","verifyPrivacyLinkIsPresentAndClickable","Verify that 'Privacy' link is present","Verify that 'Privacy' link is present"
