"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Apr 06 18:52:06 GMT 2022","Wed Apr 06 18:52:06 GMT 2022","0","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","verifyEnteringNegativeNumber","Verify entering a negative number","Verify entering a negative number"
"failed","Wed Apr 06 18:52:16 GMT 2022","Wed Apr 06 18:52:28 GMT 2022","12430","","qa_interview.web.TC0007_VerifyPressingEnterButton","","qa_interview.web.TC0007_VerifyPressingEnterButton","verifyPressingEnterButton","Verify pressing 'Enter' button","Verify pressing 'Enter' button"
"passed","Wed Apr 06 18:52:06 GMT 2022","Wed Apr 06 18:52:09 GMT 2022","2797","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","verifyEnteringPositiveNumber","Verify entering a positive number","Verify entering a positive number"
"failed","Wed Apr 06 18:52:02 GMT 2022","Wed Apr 06 18:52:05 GMT 2022","3406","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","verifyValidationErrorAppearsForEmptyField","Verify that validation error appears after trying sending empty input","Verify that validation error appears after trying sending empty input"
"passed","Wed Apr 06 18:52:09 GMT 2022","Wed Apr 06 18:52:11 GMT 2022","2223","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","verifyEnteringStringInsteadOfNumber","Verify entering string instead of a number","Verify entering string instead of a number"
"passed","Wed Apr 06 18:52:13 GMT 2022","Wed Apr 06 18:52:16 GMT 2022","2259","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","verifyPrivacyLinkIsPresentAndClickable","Verify that 'Privacy' link is present","Verify that 'Privacy' link is present"
"passed","Wed Apr 06 18:52:11 GMT 2022","Wed Apr 06 18:52:13 GMT 2022","2182","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","verifyTermsAndConditionsLinkIsPresentANdClickable","Verify that 'Terms and conditions' link is present","Verify that 'Terms and conditions' link is present"
