"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 06 17:54:26 GMT 2022","Wed Apr 06 17:54:29 GMT 2022","2774","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","","qa_interview.web.TC0003_VerifyEnteringPositiveNumber","verifyEnteringPositiveNumber","Verify entering a positive number","Verify entering a positive number"
"passed","Wed Apr 06 17:54:22 GMT 2022","Wed Apr 06 17:54:26 GMT 2022","3883","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","","qa_interview.web.TC0001_VerifyValidationErrorAppearsForEmptyField","verifyValidationErrorAppearsForEmptyField","Verify that validation error appears after trying sending empty input","Verify that validation error appears after trying sending empty input"
"passed","Wed Apr 06 17:54:29 GMT 2022","Wed Apr 06 17:54:32 GMT 2022","2513","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","","qa_interview.web.TC0004_VerifyEnteringCharInsteadOfNumber","verifyEnteringStringInsteadOfNumber","Verify entering string instead of a number","Verify entering string instead of a number"
"skipped","Wed Apr 06 17:54:26 GMT 2022","Wed Apr 06 17:54:26 GMT 2022","1","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","","qa_interview.web.TC0002_VerifyEnteringNegativeNumber","verifyEnteringNegativeNumber","Verify entering a negative number","Verify entering a negative number"
"passed","Wed Apr 06 17:54:32 GMT 2022","Wed Apr 06 17:54:34 GMT 2022","2369","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","","qa_interview.web.TC0005_VerifyTermsAndConditionsLinkIsPresentANdClickable","verifyTermsAndConditionsLinkIsPresentANdClickable","Verify that 'Terms and conditions' link is present","Verify that 'Terms and conditions' link is present"
"passed","Wed Apr 06 17:54:34 GMT 2022","Wed Apr 06 17:54:36 GMT 2022","2391","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","","qa_interview.web.TC0006_VerifyPrivacyLinkIsPresentAndClickable","verifyPrivacyLinkIsPresentAndClickable","Verify that 'Privacy' link is present","Verify that 'Privacy' link is present"
"passed","Wed Apr 06 17:54:36 GMT 2022","Wed Apr 06 17:54:39 GMT 2022","2236","","qa_interview.web.TC0007_VerifyPressingEnterButton","","qa_interview.web.TC0007_VerifyPressingEnterButton","verifyPressingEnterButton","Verify pressing 'Enter' button","Verify pressing 'Enter' button"
